ProductName,Product Details,Ingredients,ServingSize,Calories PerServing,NutritionalInfo
Bread,"Whole wheat bread, 1 loaf","Whole wheat flour, water, yeast, salt",1 slice (28g),70,"Fiber: 2g, Protein: 3g"
Chicken,"Boneless, skinless chicken breasts, 1 lb",Chicken breast,4 oz (112g),110,Protein: 23g
Broccoli,"Fresh broccoli, 1 lb",Broccoli,1 cup (91g),55,"Vitamin C: 135%, Fiber: 2.6g"
Rice,"Brown rice, 1 lb",Brown rice,1/4 cup (45g),170,"Fiber: 2g, Protein: 3g"
Yogurt,"Greek yogurt, 32 oz","Milk, live active cultures",1 cup (227g),130,Protein: 23g
Cheese,"Cheddar cheese, 8 oz","Milk, salt, enzymes",1 oz (28g),115,"Calcium: 20%, Protein: 7g"
Carrots,"Fresh carrots, 1 lb",Carrots,1 cup (128g),52,"Vitamin A: 428%, Fiber: 3g"
Rice,"Brown rice, 1 lb",Brown rice,1/4 cup (45g),170,"Fiber: 2g, Protein: 3g"
Orange Juice,"Fresh squeezed orange juice, 1 gallon",Oranges,1 cup (240ml),120,"Vitamin C: 100%, Calcium: 2%"
Salmon,"Wild caught salmon, 1 lb",Salmon,4 oz (112g),200,"Omega-3 fatty acids: 1.5g, Protein: 23g"
Almonds,"Roasted almonds, 1 lb","Almonds, salt",1/4 cup (28g),170,"Vitamin E: 35%, Fiber: 3g"
Avocado,"Fresh, ripe avocados",Avocado,1/2 avocado (68g),120,"Fiber: 6g, Healthy fats: 10g"
Black Beans,"Canned black beans, 15 oz","Black beans, water, salt",1/2 cup (130g),120,"Fiber: 6g, Protein: 7g"
Blueberries,"Fresh blueberries, 1 pint",Blueberries,1 cup (148g),85,"Vitamin C: 24%, Fiber: 4g"
Cauliflower,"Fresh cauliflower, 1 head",Cauliflower,1 cup (100g),25,"Vitamin C: 77%, Fiber: 3g"
Chocolate,"Dark chocolate, 70% cacao, 1 lb","Chocolate, sugar, cocoa butter, vanilla",1 oz (28g),170,"Iron: 10%, Antioxidants: 2g"
Eggs,"Large eggs, 1 dozen",Eggs,1 large egg (50g),70,Protein: 6g
Green Beans,"Fresh green beans, 1 lb",Green beans,1 cup (100g),30,"Vitamin C: 20%, Fiber"
,,,,,
,,,,,
,,,,,
